# ID,label,height,mean_z,std_z,root_density,area,shape_index,circularity,elongation_xy,slenderness,rectangularity,footprint_density,bbox_volume,point_density_3d,lower_fraction,middle_fraction,upper_fraction,top_roughness,linearity,planarity,sphericity,anisotropy,curvature
 31.000000,  0.000000,  7.640000,  9.180117,  1.794631,  0.000368,358.453278,  4.969949,  0.865927,  1.033058,  0.305600,  0.592485, 37.910099,4622.199219,  2.939943,  0.164250,  0.264258,  0.571492,  0.205820,  0.301259,  0.620908,  0.077802,  0.922168,  0.043795
 32.000000,  0.000000,  3.530000,  9.134811,  0.322901,  0.001637,112.814659,  2.639003,  0.775755,  1.587606,  0.237551,  0.811095, 32.495773,490.985077,  7.466622,  0.004637,  0.004910,  0.990453,  0.036696,  0.423164,  0.506178,  0.070624,  0.929343,  0.042869
 33.000000,  0.000000,  6.900000, 18.648314,  1.478376,  0.003690, 57.985630,  1.954859,  0.828172,  1.054231,  0.865746,  0.962367, 32.714996,415.746582,  4.562876,  0.032683,  0.423827,  0.543490,  0.084388,  0.063707,  0.685111,  0.251148,  0.748818,  0.114815
 34.000000,  0.000000,  8.350000, 14.733412,  1.099739,  0.000225,467.455231,  5.611894,  0.846621,  1.370975,  0.292674,  0.787347, 28.503263,4957.472168,  2.687660,  0.194086,  0.765011,  0.040904,  0.357581,  0.595079,  0.218618,  0.186291,  0.813697,  0.117076
 35.000000,  0.000000,  6.740000,  9.139878,  1.181613,  0.001215,200.043411,  3.670951,  0.846531,  1.106505,  0.435400,  0.923710, 37.031960,1459.649536,  5.075191,  0.034557,  0.188445,  0.776998,  0.078268,  0.009779,  0.768555,  0.221616,  0.778334,  0.100198
 36.000000,  0.000000,  7.290000, 10.926356,  1.380380,  0.001129,162.122742,  3.451057,  0.923146,  1.082840,  0.497951,  0.819080, 38.236458,1442.928955,  4.296123,  0.142120,  0.411357,  0.446524,  0.256495,  0.722076,  0.059915,  0.217987,  0.781991,  0.145724
 37.000000,  0.000000,  6.930000,  9.021864,  1.237279,  0.000356,234.704666,  4.058788,  0.882025,  1.111543,  0.404317,  0.888026, 35.943039,1831.593750,  4.605825,  0.052513,  0.139284,  0.808203,  0.116403,  0.232307,  0.665456,  0.102192,  0.897764,  0.054653
 38.000000,  0.000000,  5.820000,  7.981354,  0.616479,  0.000346,180.441528,  3.466457,  0.836845,  1.465210,  0.321369,  0.806119, 32.049160,1302.747803,  4.439079,  0.065537,  0.927892,  0.006571,  0.288916,  0.405335,  0.486358,  0.108295,  0.891693,  0.063593
 39.000000,  0.000000,  2.850000, 11.640033,  0.528093,  0.004866, 39.709526,  1.587712,  0.797735,  1.503774,  0.357590,  0.940072, 31.050474,120.386612, 10.242002,  0.075426,  0.064071,  0.860503,  0.032905,  0.463464,  0.502062,  0.034452,  0.965526,  0.021931
 40.000000,  0.000000,  3.440001, 13.063935,  0.679307,  0.006139, 50.672112,  1.767527,  0.774771,  1.623492,  0.365956,  0.931026, 32.147854,187.225739,  8.700727,  0.065684,  0.476366,  0.457950,  0.061511,  0.258164,  0.489448,  0.252354,  0.747612,  0.126547
 41.000000,  0.000000,  3.500000, 13.473392,  0.683852,  0.001415, 70.522057,  2.125739,  0.805202,  1.552970,  0.327102,  0.956579, 40.086746,258.031067, 10.956045,  0.062964,  0.199859,  0.737177,  0.062337,  0.329680,  0.638556,  0.031724,  0.968235,  0.018639
 42.000000,  0.000000,  6.760000, 10.902686,  0.636861,  0.000896,234.416763,  3.796209,  0.772541,  1.417133,  0.298323,  0.646964, 33.312462,2449.376465,  3.188158,  0.029581,  0.966193,  0.004226,  0.272058,  0.750215,  0.049236,  0.200538,  0.799451,  0.138272
 43.000000,  0.000000,  8.130001, 11.776798,  1.272780,  0.001093,267.975708,  4.317704,  0.874219,  1.170134,  0.425209,  0.857740, 30.730394,2539.980225,  3.242151,  0.106375,  0.401214,  0.492410,  0.342917,  0.609134,  0.159892,  0.230952,  0.769026,  0.142405
 44.000000,  0.000000,  4.830000, 12.135388,  0.572739,  0.000414,289.014587,  4.462156,  0.865725,  1.216407,  0.236070,  0.839824, 33.461975,1662.182739,  5.818253,  0.008272,  0.432530,  0.559198,  0.146867,  0.086717,  0.254102,  0.659131,  0.340819,  0.256236
 45.000000,  0.000000,  6.610001, 14.011491,  1.219211,  0.001233,169.692673,  3.407610,  0.859897,  1.096020,  0.413642,  0.728332, 38.245609,1540.051758,  4.214144,  0.103390,  0.286749,  0.609861,  0.140762,  0.697343,  0.152353,  0.150284,  0.849697,  0.103436
 46.000000,  0.000000,  8.290000, 11.606861,  1.470354,  0.001451,121.094666,  2.603358,  0.703320,  1.676553,  0.506105,  0.756687, 28.457071,1326.670776,  2.597479,  0.065293,  0.350551,  0.584156,  0.213153,  0.215070,  0.471987,  0.312910,  0.687056,  0.149161
